cell,batchsize,mse,nse,y_test,yhat,n_steps
5,5,0.0028988415404542,0.9272578123320516,"[0.031  0.0007 0.     0.0454 0.0112 0.2245 0.5862 0.4692 0.3521 0.0189
 0.001  0.0445]","[0.03827347 0.0196997  0.0077612  0.03131243 0.03934917 0.20160921
 0.4863084  0.55565965 0.38011774 0.12947325 0.02331909 0.00167521]",12
6,5,0.0044519648213128,0.861453464060634,"[2.170e-02 6.000e-04 5.000e-04 3.310e-02 1.700e-02 1.738e-01 5.340e-01
 4.262e-01 3.183e-01 3.160e-02 8.400e-03 5.450e-02]","[ 0.01607072 -0.01622951  0.00721285  0.04787002  0.04263045  0.1853057
  0.45409518  0.55109143  0.42839018  0.15475328  0.05682232  0.03347164]",12
7,5,0.0198081121210168,0.7851241669674416,"[2.270e-02 5.000e-04 9.000e-04 1.650e-02 2.200e-03 2.259e-01 1.000e+00
 6.403e-01 2.807e-01 4.380e-02 5.200e-03 5.850e-02]","[ 9.3964972e-03 -5.6483224e-04  2.9189114e-02  6.9155224e-02
  3.5404507e-02  2.2828344e-01  5.7047743e-01  6.4730436e-01
  4.5429823e-01  1.6222499e-01  6.6542745e-02  7.7883065e-02]",12
48,2,0.0269493848106161,0.7133943341426056,"[2.180e-02 3.000e-04 2.000e-04 1.760e-02 1.520e-02 1.140e-01 9.331e-01
 6.948e-01 4.566e-01 2.640e-02 2.500e-03 4.120e-02]","[ 0.02179867  0.02512682  0.03629913 -0.00515256  0.01658731  0.111026
  0.41354758  0.5435165   0.38755232  0.1741795   0.03741126  0.02393501]",48
49,1,0.0176634673851711,0.7681053763190899,"[0.0181 0.0009 0.     0.0313 0.0129 0.1227 0.8393 0.6411 0.4429 0.0706
 0.0225 0.0476]","[0.02619851 0.02116743 0.01482872 0.00948946 0.01712014 0.11237147
 0.39802015 0.57820547 0.49427304 0.15828322 0.0538852  0.02173538]",48
50,2,0.0264455980131061,0.6629027722978323,"[1.330e-02 3.000e-04 1.100e-03 3.010e-02 9.700e-03 2.483e-01 9.212e-01
 6.072e-01 2.931e-01 1.332e-01 4.400e-03 4.820e-02]","[0.02671282 0.01181829 0.01518159 0.02193467 0.02126624 0.15417139
 0.384412   0.48866305 0.35710618 0.11927698 0.03652074 0.03204743]",36
91,1,0.0301586141362479,0.7099455042635507,"[1.930e-02 3.000e-04 4.000e-04 7.100e-03 8.500e-03 1.126e-01 1.000e+00
 7.160e-01 4.320e-01 3.470e-02 3.000e-03 3.360e-02]","[0.00704887 0.01663175 0.02027716 0.00417362 0.01981473 0.15917996
 0.44824475 0.5568653  0.3791633  0.17835286 0.07782673 0.03285524]",48
92,1,0.0147021498005121,0.7369253962188703,"[2.420e-02 6.000e-04 3.000e-04 2.040e-02 1.380e-02 1.279e-01 7.240e-01
 5.456e-01 3.671e-01 5.540e-02 1.030e-02 3.210e-02]","[ 0.04433669  0.01247401  0.01611058  0.00093004  0.01344718  0.07309887
  0.32853398  0.4513032   0.3636385   0.12980837  0.01884256 -0.00450814]",12
93,2,0.0181110515579497,0.6972094340343362,"[1.700e-02 1.000e-04 3.000e-04 4.080e-02 6.200e-03 2.091e-01 8.081e-01
 5.268e-01 2.455e-01 8.240e-02 8.200e-03 3.620e-02]","[0.04426951 0.00654077 0.00330587 0.02290101 0.00448456 0.17820284
 0.35317704 0.48257828 0.28705728 0.14311644 0.03664249 0.04749573]",36
