variable,location,complexity,epochs,MSE_avg,NSE_avg,of_train,of_test
P,east,high,50,0.07521490351472063,-0.17093720472680257,0,0
P,east,low,50,0.07084524454148611,-0.09540781873059984,0,0
P,east,moderate,50,0.07324988878289661,-0.13838850333071534,0,0
P,east,high,100,0.0691032868962958,-0.10596136239697908,0,0
P,east,low,100,0.0732938677405944,-0.15241507964119375,0,0
P,east,moderate,100,0.07054773381600203,-0.0832273775459173,0,0
P,east,high,150,0.06428038135780469,-0.046767130842066094,0,0
P,east,low,150,0.07351542788805936,-0.157476001330132,0,0
P,east,moderate,150,0.0621050239581967,0.018356598902931603,0,0
P,west,high,50,0.008762426026386945,0.8807090526357924,0,0
P,west,low,50,0.01807496186093749,0.7555345384895568,0,0
P,west,moderate,50,0.010453571793026722,0.8617615008019406,0,0
P,west,high,100,0.006705576563267723,0.9050230058357163,0,0
P,west,low,100,0.012634935405642957,0.8304596326051489,0,0
P,west,moderate,100,0.0083992943825118,0.8823885730068093,0,0
P,west,high,150,0.007096975504401,0.9003217065534354,0,0
P,west,low,150,0.011602496327194333,0.8444760645682178,0,0
P,west,moderate,150,0.009043856467140688,0.8795581705520614,0,0
